country,continent,year,lifeExp,pop,gdpPercap,fit.pr
Afghanistan,Asia,1952,28.801,8425333,779.4453145,50.04801100597051
Afghanistan,Asia,1957,30.332,9240934,820.8530296,51.497249773472504
Afghanistan,Asia,1962,31.997,10267083,853.10071,52.943770302232096
Afghanistan,Asia,1967,34.02,11537966,836.1971382,54.37570520524426
Afghanistan,Asia,1972,36.088,13079460,739.9811058,55.78410414903584
Afghanistan,Asia,1977,38.438,14880372,786.11336,57.234744922713816
Afghanistan,Asia,1982,39.854,12881816,978.0114388,58.728641680099614
Afghanistan,Asia,1987,40.822,13867957,852.3959448,60.12831633865166
Afghanistan,Asia,1992,41.674,16317921,649.3413952,61.505010970598846
Afghanistan,Asia,1997,41.763,22227415,635.341351,62.937807494933466
Afghanistan,Asia,2002,42.129,25268405,726.7340548,64.40187929934777
Afghanistan,Asia,2007,43.828,31889923,974.5803384,65.91237867701133
Albania,Europe,1952,55.23,1282697,1601.056136,60.1817541463314
Albania,Europe,1957,59.28,1476505,1942.284244,61.71996456453509
Albania,Europe,1962,64.82,1728137,2312.888958,63.266892485582886
Albania,Europe,1967,66.22,1984060,2760.196931,64.83658208571937
Albania,Europe,1972,67.69,2263554,3313.422188,66.43770262190449
Albania,Europe,1977,68.93,2509048,3533.00391,67.93981449571088
Albania,Europe,1982,70.42,2780097,3630.880722,69.4058104581329
Albania,Europe,1987,72,3075321,3738.932735,70.87482590972456
Albania,Europe,1992,71.581,3326498,2497.437901,71.94336356354052
Albania,Europe,1997,72.95,3428038,3193.054604,73.58673873715665
Albania,Europe,2002,75.651,3508512,4604.211737,75.44245041191975
Albania,Europe,2007,76.423,3600523,5937.029526,77.27491489964815
Algeria,Africa,1952,43.077,9279525,2449.008185,41.037845899760285
Algeria,Africa,1957,45.685,10270856,3013.976023,42.642451044863975
Algeria,Africa,1962,48.303,11000948,2550.81688,43.94195968286977
Algeria,Africa,1967,51.407,12760499,3246.991771,45.58550049868018
Algeria,Africa,1972,54.518,14760787,4182.663766,47.30011203945044
Algeria,Africa,1977,58.014,17152804,4910.416756,48.95302365077904
Algeria,Africa,1982,61.368,20033753,5745.160213,50.63768466502937
Algeria,Africa,1987,65.799,23254956,5681.358539,52.05570256417415
Algeria,Africa,1992,67.744,26298373,5023.216647,53.2973501045105
Algeria,Africa,1997,69.152,29072015,4797.295051,54.66725894431994
Algeria,Africa,2002,70.994,31287142,5288.040382,56.24983857306988
Algeria,Africa,2007,72.301,33333216,6223.367465,57.96434776126269
Angola,Africa,1952,30.015,4232095,3520.610273,41.35584363748097
Angola,Africa,1957,31.999,4561361,3827.940465,42.88399485486547
Angola,Africa,1962,34,4826015,4269.276742,44.45191235522758
Angola,Africa,1967,35.985,5247469,5522.776375,46.2608391936264
Angola,Africa,1972,37.928,5894858,5473.288005,47.683104563303644
Angola,Africa,1977,39.483,6162675,3008.647355,48.388673903837876
Angola,Africa,1982,39.942,7016384,2756.953672,49.750934881204614
Angola,Africa,1987,39.906,7874230,2430.208311,51.090924285864105
Angola,Africa,1992,40.647,8735988,2627.845685,52.58652417812631
Angola,Africa,1997,40.963,9875024,2277.140884,53.919403623032665
Angola,Africa,2002,41.003,10866106,2773.287312,55.50358602640057
Angola,Africa,2007,42.731,12420476,4797.231267,57.54114208657798
Argentina,Americas,1952,62.485,17876956,5911.315053,56.39204817560873
Argentina,Americas,1957,64.399,19610538,6856.856212,58.1095883891208
Argentina,Americas,1962,65.142,21283783,7133.166023,59.62853431370893
Argentina,Americas,1967,65.634,22934225,8052.953021,61.33843198431576
Argentina,Americas,1972,67.065,24779799,9443.038526,63.18789065704655
Argentina,Americas,1977,68.481,26983828,10079.02674,64.81357108667326
Argentina,Americas,1982,69.942,29341374,8997.897412,65.92969717717433
Argentina,Americas,1987,70.774,31620918,9139.671389,67.40871961585903
Argentina,Americas,1992,71.868,33958947,9308.41871,68.89574638979728
Argentina,Americas,1997,73.275,36203463,10967.28195,70.8249648097671
Argentina,Americas,2002,74.34,38331121,8797.640716,71.61807517692624
Argentina,Americas,2007,75.32,40301927,12779.37964,74.23660656183905
Australia,Oceania,1952,69.12,8691212,10039.59564,63.87626656627614
Australia,Oceania,1957,70.33,9712569,10949.64959,65.58327595654104
Australia,Oceania,1962,70.93,10794968,12217.22686,67.39638033133008
Australia,Oceania,1967,71.1,11872264,14526.12465,69.51849639367579
Australia,Oceania,1972,71.93,13177000,16788.62948,71.62684535301622
Australia,Oceania,1977,73.49,14074100,18334.19751,73.52244343864922
